case_id,repo,pr_number,codex_pattern,claude_pattern,codex_pattern_family,claude_pattern_family,codex_scope,claude_scope
001,Azure/azure-sdk-for-net,50357,broke_existing_contract_or_behavior,violated_project_constraint_or_convention,BROKEN_CONTRACT,CONSTRAINT_VIOLATION,CODE_STATE,BOTH
004,ant-design/ant-design,54318,violated_project_constraint_or_convention,false_premise_about_existing_code,CONSTRAINT_VIOLATION,REPOSITORY_UNDERSTANDING,CODE_STATE,CODE_STATE
016,dotnet/macios,23052,false_premise_about_existing_code,unverified_trial_and_error,REPOSITORY_UNDERSTANDING,UNVERIFIED_TRIAL_AND_ERROR,CODE_STATE,BOTH
017,dotnet/maui,30125,false_premise_about_existing_code,vacuous_verification,REPOSITORY_UNDERSTANDING,VACUOUS_VERIFICATION,CODE_STATE,BOTH
018,dotnet/runtime,115795,vacuous_verification,false_premise_about_existing_code,VACUOUS_VERIFICATION,REPOSITORY_UNDERSTANDING,REPAIR_PROCESS,CODE_STATE
022,formancehq/ledger,909,violated_project_constraint_or_convention,disproportionate_or_duplicative_solution,CONSTRAINT_VIOLATION,SOLUTION_SHAPE,CODE_STATE,BOTH
023,formbricks/formbricks,5829,misdiagnosed_root_cause,vacuous_verification,REPOSITORY_UNDERSTANDING,VACUOUS_VERIFICATION,CODE_STATE,BOTH
027,liam-hq/liam,787,misdiagnosed_root_cause,broke_existing_contract_or_behavior,REPOSITORY_UNDERSTANDING,BROKEN_CONTRACT,CODE_STATE,CODE_STATE
028,liam-hq/liam,1471,false_premise_about_existing_code,incomplete_change_propagation,REPOSITORY_UNDERSTANDING,INCOMPLETE_PROPAGATION,BOTH,BOTH
048,stack-auth/stack-auth,494,unverified_trial_and_error,violated_project_constraint_or_convention,UNVERIFIED_TRIAL_AND_ERROR,CONSTRAINT_VIOLATION,BOTH,BOTH
049,syncfusion/maui-toolkit,219,unverified_trial_and_error,misdiagnosed_root_cause,UNVERIFIED_TRIAL_AND_ERROR,REPOSITORY_UNDERSTANDING,BOTH,BOTH
050,valkey-io/valkey-glide,4389,incomplete_change_propagation,vacuous_verification,INCOMPLETE_PROPAGATION,VACUOUS_VERIFICATION,BOTH,BOTH
067,ComposioHQ/composio,1210,vacuous_verification,incomplete_change_propagation,VACUOUS_VERIFICATION,INCOMPLETE_PROPAGATION,CODE_STATE,CODE_STATE
